Keyword,Clicks,Impressions,CTR %,Avg Position,Page 1?,Priority,Action Item
kona coffee donut,45,99,45.5,1.2,YES,HIGH — Already winning,Maintain ranking. Build backlinks to solidify position.
kona coffee,3,168,1.8,4.2,YES,HIGH — Quick win,Improve CTR: update title/meta description to be more clickable.
kona donuts,2,12,16.7,11.6,NO,LOW — Monitor,Track over time. Consider if worth targeting.
코나커피,2,221,0.9,3.1,YES,HIGH — Quick win,Improve CTR: update title/meta description to be more clickable.
donut shops near me,1,8,12.5,8.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donuts near me,1,121,0.8,8.9,YES,HIGH — Quick win,Improve CTR: update title/meta description to be more clickable.
kona coffee near me,1,16,6.2,4.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona's coffee menu,1,1,100,6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
konacoffeedonut.com,1,37,2.7,8.1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
コナコーヒー メニュー,1,22,4.5,6.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
科纳咖啡,1,20,5.0,5.2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
말라사다,1,104,1.0,8.3,YES,HIGH — Quick win,Improve CTR: update title/meta description to be more clickable.
말라사다 도넛,1,34,2.9,7.1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
코나 커피,1,169,0.6,3.7,YES,HIGH — Quick win,Improve CTR: update title/meta description to be more clickable.
코나 커피 특징,1,27,3.7,3.2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
하와이 코나 커피,1,62,1.6,4.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
하와이안 코나 커피,1,11,9.1,1.9,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
beignets and coffee hawaii,0,1,0,49,NO,LOW — Monitor,Track over time. Consider if worth targeting.
best donuts in waikiki,0,1,0,10,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
bingsu hawaii,0,2,0,8.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
cafe kona,0,1,0,7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
café de kona,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
café kona de hawaii,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee,0,3,0,25.3,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee and donut,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee bakery near me,0,1,0,9,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee breakfast near me,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee in waikiki,0,3,0,39.7,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee kona,0,1,0,3,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee near me,0,35,0,20.7,NO,MEDIUM — Needs content,Create a blog post or landing page targeting this keyword.
coffee near me open,0,3,0,4,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee near me open now,0,6,0,11.7,NO,LOW — Monitor,Track over time. Consider if worth targeting.
