Landing Page,Sessions,Users,Page Views,Bounce Rate %,Avg Duration (s),Engaged Sessions,Engagement Rate %,Action Item
/en,223,178,345,24.0,255.0,169,76.0,Strong page. Add more content/CTAs to convert visitors.
/ja,31,28,42,6.0,176.0,29,94.0,Strong page. Add more content/CTAs to convert visitors.
,25,20,0,100.0,209.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
(not set),25,20,0,72.0,138.0,7,28.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/en/menu,23,22,27,35.0,236.0,15,65.0,Strong page. Add more content/CTAs to convert visitors.
/ko/about-kona-coffee,13,11,16,38.0,707.0,8,62.0,Great engagement! Users love this page. Boost with internal links.
/zh/about-kona-coffee,8,8,9,50.0,152.0,4,50.0,Monitor. Low traffic — drive more links to this page.
/en/careers,4,4,4,75.0,73.0,1,25.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/en/about-kona-coffee,3,3,7,67.0,794.0,1,33.0,Great engagement! Users love this page. Boost with internal links.
/en/blog,3,3,27,67.0,4039.0,1,33.0,Great engagement! Users love this page. Boost with internal links.
/zh,3,3,9,0.0,488.0,3,100.0,Great engagement! Users love this page. Boost with internal links.
/ja/faq,2,2,3,0.0,72.0,2,100.0,Monitor. Low traffic — drive more links to this page.
/ja/menu/kona-coffee,2,2,2,50.0,24.0,1,50.0,Monitor. Low traffic — drive more links to this page.
/ja/mochi-donuts-waikiki,2,2,2,100.0,4.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/ko/menu/malasada,2,2,3,0.0,29.0,2,100.0,Monitor. Low traffic — drive more links to this page.
/en/faq,1,1,1,100.0,1.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/en/menu/kona-coffee,1,1,1,0.0,1358.0,1,100.0,Great engagement! Users love this page. Boost with internal links.
/en/menu/korean-corn-dog,1,1,2,0.0,117.0,1,100.0,Monitor. Low traffic — drive more links to this page.
/en/menu/malasada,1,1,1,0.0,15.0,1,100.0,Monitor. Low traffic — drive more links to this page.
/en/mochi-donuts-waikiki,1,1,4,0.0,548.0,1,100.0,Great engagement! Users love this page. Boost with internal links.
/en/privacy-policy,1,1,1,100.0,2.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/ko,1,1,1,0.0,21.0,1,100.0,Monitor. Low traffic — drive more links to this page.
/ko/careers,1,1,1,100.0,0.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
/zh/menu/malasada,1,1,1,100.0,0.0,0,0.0,"HIGH BOUNCE. Improve page content, add CTAs, check load speed."
